#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
4.36   0   3.769   -0.9386
4.37   0   3.772   -0.942
4.38   0   3.775   -0.9453
4.39   0   3.777   -0.9485
4.4   0   3.779   -0.9516
4.41   0   3.78   -0.9546
4.42   0   3.781   -0.9576
4.43   0   3.782   -0.9604
4.44   0   3.782   -0.9631
4.45   0   3.782   -0.9658
4.46   0   3.782   -0.9683
4.47   0   3.781   -0.9708
4.48   0   3.779   -0.9731
4.49   0   3.778   -0.9754
4.5   0   3.776   -0.9775
4.51   0   3.773   -0.9796
4.52   0   3.771   -0.9816
4.53   0   3.768   -0.9834
4.54   0   3.764   -0.9852
4.55   0   3.761   -0.9868
4.56   0   3.757   -0.9884
4.57   0   3.752   -0.9899
4.58   0   3.747   -0.9912
4.59   0   3.742   -0.9925
4.6   0   3.737   -0.9937
4.61   0   3.731   -0.9948
4.62   0   3.725   -0.9957
4.63   0   3.719   -0.9966
4.64   0   3.712   -0.9974
4.65   0   3.705   -0.9981
4.66   0   3.698   -0.9986
4.67   0   3.69   -0.9991
4.68   0   3.682   -0.9995
4.69   0   3.674   -0.9997
4.7   0   3.666   -0.9999
4.71   0   3.657   -1
4.72   0   3.648   -1
4.73   0   3.639   -0.9998
4.74   0   3.629   -0.9996
4.75   0   3.62   -0.9993
4.76   0   3.609   -0.9989
4.77   0   3.599   -0.9983
4.78   0   3.588   -0.9977
4.79   0   3.578   -0.997
4.8   0   3.567   -0.9962
4.81   0   3.555   -0.9952
4.82   0   3.544   -0.9942
4.83   0   3.532   -0.9931
4.84   0   3.52   -0.9919
4.85   0   3.507   -0.9905
4.86   0   3.495   -0.9891
4.87   0   3.482   -0.9876
4.88   0   3.469   -0.986
4.89   0   3.456   -0.9843
4.9   0   3.443   -0.9825
4.91   0   3.429   -0.9805
4.92   0   3.415   -0.9785
4.93   0   3.401   -0.9764
4.94   0   3.387   -0.9742
4.95   0   3.372   -0.9719
4.96   0   3.358   -0.9695
4.97   0   3.343   -0.967
4.98   0   3.328   -0.9644
4.99   0   3.313   -0.9617
5   0   3.297   -0.9589
5.01   5   3.282   -0.956
5.02   5   3.266   -0.9531
5.03   5   3.251   -0.95
5.04   5   3.236   -0.9468
5.05   5   3.221   -0.9435
5.06   5   3.206   -0.9402
5.07   5   3.192   -0.9367
5.08   5   3.179   -0.9332
5.09   5   3.165   -0.9295
5.1   5   3.152   -0.9258
5.11   5   3.139   -0.922
5.12   5   3.127   -0.9181
5.13   5   3.114   -0.9141
5.14   5   3.103   -0.91
5.15   5   3.091   -0.9058
5.16   5   3.08   -0.9015
5.17   5   3.069   -0.8971
5.18   5   3.058   -0.8926
5.19   5   3.048   -0.8881
5.2   5   3.038   -0.8835
5.21   5   3.028   -0.8787
5.22   5   3.018   -0.8739
5.23   5   3.009   -0.869
5.24   5   3   -0.864
