#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
5.03   5   2.199   4.999
5.04   5   2.199   4.999
5.05   5   2.199   4.999
5.06   5   2.199   4.999
5.07   5   2.199   4.999
5.08   5   2.199   4.999
5.09   5   2.199   4.999
5.1   5   2.199   4.999
5.11   5   2.199   4.999
5.12   5   2.199   4.999
5.13   5   2.199   4.999
5.14   5   2.199   4.999
5.15   5   2.199   4.999
5.16   5   2.199   4.999
5.17   5   2.2   4.999
5.18   5   2.2   4.999
5.19   5   2.2   4.999
5.2   5   2.2   4.999
5.21   5   2.2   4.999
5.22   5   2.2   4.999
5.23   5   2.2   4.999
5.24   5   2.2   4.999
5.25   5   2.2   4.999
5.26   5   2.2   4.999
5.27   5   2.2   4.999
5.28   5   2.2   4.999
5.29   5   2.2   4.999
5.3   5   2.2   4.999
5.31   5   2.2   4.999
5.32   5   2.2   4.999
5.33   5   2.2   4.999
5.34   5   2.2   4.999
5.35   5   2.2   4.999
5.36   5   2.2   4.999
5.37   5   2.2   4.999
5.38   5   2.2   4.999
5.39   5   2.2   4.999
5.4   5   2.2   4.999
5.41   5   2.2   4.999
5.42   5   2.2   4.999
5.43   5   2.2   4.999
5.44   5   2.2   4.999
5.45   5   2.2   4.999
5.46   5   2.2   4.999
5.47   5   2.2   4.999
5.48   5   2.2   4.999
5.49   5   2.2   4.999
5.5   5   2.2   4.999
5.51   5   2.2   4.999
5.52   5   2.2   5
5.53   5   2.2   5
5.54   5   2.2   5
5.55   5   2.2   5
5.56   5   2.2   5
5.57   5   2.2   5
5.58   5   2.2   5
5.59   5   2.2   5
5.6   5   2.2   5
5.61   5   2.2   5
5.62   5   2.2   5
5.63   5   2.2   5
5.64   5   2.2   5
5.65   5   2.2   5
5.66   5   2.2   5
5.67   5   2.2   5
5.68   5   2.2   5
5.69   5   2.2   5
5.7   5   2.2   5
5.71   5   2.2   5
5.72   5   2.2   5
5.73   5   2.2   5
5.74   5   2.2   5
5.75   5   2.2   5
5.76   5   2.2   5
5.77   5   2.2   5
5.78   5   2.2   5
5.79   5   2.2   5
5.8   5   2.2   5
5.81   5   2.2   5
5.82   5   2.2   5
5.83   5   2.2   5
5.84   5   2.2   5
5.85   5   2.2   5
5.86   5   2.2   5
5.87   5   2.2   5
5.88   5   2.2   5
5.89   5   2.2   5
5.9   5   2.2   5
5.91   5   2.2   5
5.92   5   2.2   5
5.93   5   2.2   5
5.94   5   2.2   5
5.95   5   2.2   5
5.96   5   2.2   5
5.97   5   2.2   5
5.98   5   2.2   5
5.99   5   2.2   5
6   5   2.2   5
6.01   5   2.2   5
6.02   5   2.2   5
6.03   5   2.2   5
6.04   5   2.2   5
6.05   5   2.2   5
6.06   5   2.2   5
6.07   5   2.2   5
6.08   5   2.2   5
6.09   5   2.2   5
6.1   5   2.2   5
6.11   5   2.2   5
6.12   5   2.2   5
6.13   5   2.2   5
6.14   5   2.2   5
6.15   5   2.2   5
6.16   5   2.2   5
6.17   5   2.2   5
6.18   5   2.2   5
6.19   5   2.2   5
6.2   5   2.2   5
6.21   5   2.2   5
6.22   5   2.2   5
6.23   5   2.2   5
6.24   5   2.2   5
6.25   5   2.2   5
6.26   5   2.2   5
6.27   5   2.2   5
6.28   5   2.2   5
6.29   5   2.2   5
6.3   5   2.2   5
6.31   5   2.2   5
6.32   5   2.2   5
6.33   5   2.2   5
6.34   5   2.2   5
6.35   5   2.2   5
6.36   5   2.2   5
6.37   5   2.2   5
6.38   5   2.2   5
6.39   5   2.2   5
6.4   5   2.2   5
6.41   5   2.2   5
6.42   5   2.2   5
6.43   5   2.2   5
6.44   5   2.2   5
6.45   5   2.2   5
6.46   5   2.2   5
6.47   5   2.2   5
6.48   5   2.2   5
6.49   5   2.2   5
6.5   5   2.2   5
6.51   5   2.2   5
6.52   5   2.2   5
6.53   5   2.2   5
6.54   5   2.2   5
6.55   5   2.2   5
6.56   5   2.2   5
6.57   5   2.2   5
6.58   5   2.2   5
6.59   5   2.2   5
6.6   5   2.2   5
6.61   5   2.2   5
6.62   5   2.2   5
6.63   5   2.2   5
6.64   5   2.2   5
6.65   5   2.2   5
6.66   5   2.2   5
6.67   5   2.2   5
6.68   5   2.2   5
6.69   5   2.2   5
6.7   5   2.2   5
6.71   5   2.2   5
6.72   5   2.2   5
6.73   5   2.2   5
6.74   5   2.2   5
6.75   5   2.2   5
6.76   5   2.2   5
6.77   5   2.2   5
6.78   5   2.2   5
6.79   5   2.2   5
6.8   5   2.2   5
6.81   5   2.2   5
6.82   5   2.2   5
6.83   5   2.2   5
6.84   5   2.2   5
6.85   5   2.2   5
6.86   5   2.2   5
6.87   5   2.2   5
6.88   5   2.2   5
6.89   5   2.2   5
6.9   5   2.2   5
6.91   5   2.2   5
6.92   5   2.2   5
6.93   5   2.2   5
6.94   5   2.2   5
6.95   5   2.2   5
6.96   5   2.2   5
6.97   5   2.2   5
6.98   5   2.2   5
6.99   5   2.2   5
7   5   2.2   5
7.01   5   2.2   5
7.02   5   2.2   5
7.03   5   2.2   5
7.04   5   2.2   5
7.05   5   2.2   5
7.06   5   2.2   5
7.07   5   2.2   5
7.08   5   2.2   5
7.09   5   2.2   5
7.1   5   2.2   5
7.11   5   2.2   5
7.12   5   2.2   5
7.13   5   2.2   5
7.14   5   2.2   5
7.15   5   2.2   5
7.16   5   2.2   5
7.17   5   2.2   5
7.18   5   2.2   5
7.19   5   2.2   5
7.2   5   2.2   5
7.21   5   2.2   5
7.22   5   2.2   5
7.23   5   2.2   5
7.24   5   2.2   5
7.25   5   2.2   5
7.26   5   2.2   5
7.27   5   2.2   5
7.28   5   2.2   5
7.29   5   2.2   5
7.3   5   2.2   5
7.31   5   2.2   5
7.32   5   2.2   5
7.33   5   2.2   5
7.34   5   2.2   5
7.35   5   2.2   5
7.36   5   2.2   5
7.37   5   2.2   5
7.38   5   2.2   5
7.39   5   2.2   5
7.4   5   2.2   5
7.41   5   2.2   5
7.42   5   2.2   5
7.43   5   2.2   5
7.44   5   2.2   5
7.45   5   2.2   5
7.46   5   2.2   5
7.47   5   2.2   5
7.48   5   2.2   5
7.49   5   2.2   5
7.5   5   2.2   5
7.51   5   2.2   5
7.52   5   2.2   5
7.53   5   2.2   5
7.54   5   2.2   5
7.55   5   2.2   5
7.56   5   2.2   5
7.57   5   2.2   5
7.58   5   2.2   5
7.59   5   2.2   5
7.6   5   2.2   5
7.61   5   2.2   5
7.62   5   2.2   5
7.63   5   2.2   5
7.64   5   2.2   5
7.65   5   2.2   5
7.66   5   2.2   5
7.67   5   2.2   5
7.68   5   2.2   5
7.69   5   2.2   5
7.7   5   2.2   5
7.71   5   2.2   5
7.72   5   2.2   5
7.73   5   2.2   5
7.74   5   2.2   5
7.75   5   2.2   5
7.76   5   2.2   5
7.77   5   2.2   5
7.78   5   2.2   5
7.79   5   2.2   5
7.8   5   2.2   5
7.81   5   2.2   5
7.82   5   2.2   5
7.83   5   2.2   5
7.84   5   2.2   5
7.85   5   2.2   5
7.86   5   2.2   5
7.87   5   2.2   5
7.88   5   2.2   5
7.89   5   2.2   5
7.9   5   2.2   5
7.91   5   2.2   5
7.92   5   2.2   5
7.93   5   2.2   5
7.94   5   2.2   5
7.95   5   2.2   5
7.96   5   2.2   5
7.97   5   2.2   5
7.98   5   2.2   5
7.99   5   2.2   5
8   5   2.2   5
8.01   5   2.2   5
8.02   5   2.2   5
8.03   5   2.2   5
8.04   5   2.2   5
8.05   5   2.2   5
8.06   5   2.2   5
8.07   5   2.2   5
8.08   5   2.2   5
8.09   5   2.2   5
8.1   5   2.2   5
8.11   5   2.2   5
8.12   5   2.2   5
8.13   5   2.2   5
8.14   5   2.2   5
8.15   5   2.2   5
8.16   5   2.2   5
8.17   5   2.2   5
8.18   5   2.2   5
8.19   5   2.2   5
8.2   5   2.2   5
8.21   5   2.2   5
8.22   5   2.2   5
8.23   5   2.2   5
8.24   5   2.2   5
8.25   5   2.2   5
8.26   5   2.2   5
8.27   5   2.2   5
8.28   5   2.2   5
8.29   5   2.2   5
8.3   5   2.2   5
8.31   5   2.2   5
8.32   5   2.2   5
8.33   5   2.2   5
8.34   5   2.2   5
8.35   5   2.2   5
8.36   5   2.2   5
8.37   5   2.2   5
8.38   5   2.2   5
8.39   5   2.2   5
8.4   5   2.2   5
8.41   5   2.2   5
8.42   5   2.2   5
8.43   5   2.2   5
8.44   5   2.2   5
8.45   5   2.2   5
8.46   5   2.2   5
8.47   5   2.2   5
8.48   5   2.2   5
8.49   5   2.2   5
8.5   5   2.2   5
8.51   5   2.2   5
8.52   5   2.2   5
8.53   5   2.2   5
8.54   5   2.2   5
8.55   5   2.2   5
8.56   5   2.2   5
8.57   5   2.2   5
8.58   5   2.2   5
8.59   5   2.2   5
8.6   5   2.2   5
8.61   5   2.2   5
8.62   5   2.2   5
