#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
4.18   1.6   0.4153   1.376
4.19   1.55   0.417   1.381
4.2   1.5   0.4182   1.384
4.21   1.45   0.4188   1.386
4.22   1.4   0.4189   1.388
4.23   1.35   0.4185   1.388
4.24   1.3   0.4177   1.387
4.25   1.25   0.4163   1.385
4.26   1.2   0.4145   1.383
4.27   1.15   0.4122   1.379
4.28   1.1   0.4095   1.374
4.29   1.05   0.4063   1.369
4.3   1   0.4026   1.363
4.31   0.95   0.3986   1.355
4.32   0.9   0.3941   1.347
4.33   0.85   0.3892   1.338
4.34   0.8   0.3839   1.328
4.35   0.75   0.3783   1.318
4.36   0.7   0.3722   1.307
4.37   0.65   0.3658   1.294
4.38   0.6   0.3589   1.282
4.39   0.55   0.3518   1.268
4.4   0.5   0.3442   1.254
4.41   0.45   0.3363   1.238
4.42   0.4   0.3281   1.223
4.43   0.35   0.3196   1.206
4.44   0.3   0.3107   1.189
4.45   0.25   0.3015   1.171
4.46   0.2   0.2919   1.153
4.47   0.15   0.2821   1.134
4.48   0.1   0.2719   1.114
4.49   0.05   0.2615   1.094
4.5   2.576e-13   0.2508   1.073
4.51   -0.05   0.2398   1.052
4.52   -0.1   0.2285   1.03
4.53   -0.15   0.2169   1.007
4.54   -0.2   0.2051   0.9838
4.55   -0.25   0.193   0.9601
4.56   -0.3   0.1806   0.9359
4.57   -0.35   0.168   0.9112
4.58   -0.4   0.1551   0.886
4.59   -0.45   0.142   0.8602
4.6   -0.5   0.1287   0.834
4.61   -0.55   0.1151   0.8074
4.62   -0.6   0.1013   0.7802
4.63   -0.65   0.08728   0.7526
4.64   -0.7   0.07303   0.7246
4.65   -0.75   0.05857   0.6961
4.66   -0.8   0.0439   0.6671
4.67   -0.85   0.02902   0.6378
4.68   -0.9   0.01394   0.608
4.69   -0.95   -0.001337   0.5779
#Diode bloquee
4.7   -1   -0.001323   -1.001
4.71   -1.05   -0.00131   -1.051
4.72   -1.1   -0.001297   -1.101
4.73   -1.15   -0.001284   -1.151
4.74   -1.2   -0.001271   -1.201
4.75   -1.25   -0.001258   -1.251
