#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
6.09   5   3.914
6.1   5   3.925
6.11   5   3.936
6.12   5   3.947
6.13   5   3.957
6.14   5   3.968
6.15   5   3.978
6.16   5   3.988
6.17   5   3.998
6.18   5   4.008
6.19   5   4.018
6.2   5   4.028
6.21   0   4.038
6.22   0   3.997
6.23   0   3.957
6.24   0   3.918
6.25   0   3.879
6.26   0   3.84
6.27   0   3.801
6.28   0   3.763
6.29   0   3.726
6.3   0   3.689
6.31   0   3.652
6.32   0   3.615
6.33   0   3.579
6.34   0   3.543
6.35   0   3.508
6.36   0   3.473
6.37   0   3.438
6.38   0   3.404
6.39   0   3.37
6.4   0   3.336
6.41   0   3.303
6.42   0   3.269
6.43   0   3.237
6.44   0   3.204
6.45   0   3.172
6.46   0   3.141
6.47   0   3.109
6.48   0   3.078
6.49   0   3.047
6.5   0   3.017
6.51   0   2.987
6.52   0   2.957
6.53   0   2.927
6.54   0   2.898
6.55   0   2.869
6.56   0   2.84
6.57   0   2.812
6.58   0   2.784
6.59   0   2.756
6.6   0   2.728
6.61   0   2.701
6.62   0   2.674
6.63   0   2.647
6.64   0   2.621
6.65   0   2.595
6.66   0   2.569
6.67   0   2.543
6.68   0   2.518
6.69   0   2.492
6.7   0   2.468
6.71   0   2.443
6.72   0   2.418
6.73   0   2.394
6.74   0   2.37
6.75   0   2.347
6.76   0   2.323
6.77   0   2.3
6.78   0   2.277
6.79   0   2.254
6.8   0   2.232
6.81   0   2.209
6.82   0   2.187
6.83   0   2.165
6.84   0   2.144
6.85   0   2.122
6.86   0   2.101
6.87   0   2.08
6.88   0   2.059
6.89   0   2.039
6.9   0   2.018
6.91   0   1.998
6.92   0   1.978
6.93   0   1.958
6.94   0   1.939
6.95   0   1.919
6.96   0   1.9
6.97   0   1.881
6.98   0   1.862
6.99   0   1.844
7   0   1.825
7.01   5   1.807
7.02   5   1.839
7.03   5   1.871
7.04   5   1.902
7.05   5   1.933
7.06   5   1.963
7.07   5   1.994
7.08   5   2.024
7.09   5   2.054
7.1   5   2.083
7.11   5   2.112
7.12   5   2.141
7.13   5   2.17
7.14   5   2.198
7.15   5   2.226
7.16   5   2.254
7.17   5   2.281
7.18   5   2.308
7.19   5   2.335
7.2   5   2.362
7.21   5   2.388
7.22   5   2.415
7.23   5   2.44
7.24   5   2.466
7.25   5   2.491
7.26   5   2.516
7.27   5   2.541
7.28   5   2.566
7.29   5   2.59
7.3   5   2.614
7.31   5   2.638
7.32   5   2.662
7.33   5   2.685
7.34   5   2.708
7.35   5   2.731
7.36   5   2.754
7.37   5   2.776
7.38   5   2.799
7.39   5   2.821
7.4   5   2.842
7.41   5   2.864
7.42   5   2.885
7.43   5   2.906
7.44   5   2.927
7.45   5   2.948
7.46   5   2.969
7.47   5   2.989
7.48   5   3.009
7.49   5   3.029
7.5   5   3.049
7.51   5   3.068
7.52   5   3.088
7.53   5   3.107
7.54   5   3.126
7.55   5   3.144
7.56   5   3.163
7.57   5   3.181
7.58   5   3.199
7.59   5   3.217
7.6   5   3.235
7.61   5   3.253
7.62   5   3.27
7.63   5   3.288
7.64   5   3.305
7.65   5   3.322
7.66   5   3.339
7.67   5   3.355
7.68   5   3.372
7.69   5   3.388
7.7   5   3.404
7.71   5   3.42
7.72   5   3.436
7.73   5   3.451
7.74   5   3.467
7.75   5   3.482
7.76   5   3.497
7.77   5   3.512
7.78   5   3.527
7.79   5   3.542
7.8   5   3.557
7.81   5   3.571
7.82   5   3.585
7.83   5   3.599
7.84   5   3.613
7.85   5   3.627
7.86   5   3.641
7.87   5   3.655
7.88   5   3.668
7.89   5   3.681
7.9   5   3.695
7.91   5   3.708
7.92   5   3.721
7.93   5   3.733
7.94   5   3.746
7.95   5   3.759
7.96   5   3.771
7.97   5   3.783
7.98   5   3.795
7.99   5   3.808
8   5   3.819
8.01   5   3.831
8.02   5   3.843
8.03   5   3.855
8.04   5   3.866
8.05   5   3.877
8.06   5   3.889
8.07   5   3.9
8.08   5   3.911
8.09   5   3.922
8.1   5   3.932
8.11   5   3.943
8.12   5   3.954
8.13   5   3.964
8.14   5   3.974
8.15   5   3.985
8.16   5   3.995
8.17   5   4.005
8.18   5   4.015
8.19   5   4.025
8.2   5   4.034
8.21   0   4.044
8.22   0   4.004
8.23   0   3.964
8.24   0   3.924
8.25   0   3.885
8.26   0   3.846
8.27   0   3.807
8.28   0   3.769
8.29   0   3.732
8.3   0   3.694
8.31   0   3.657
8.32   0   3.621
8.33   0   3.585
8.34   0   3.549
8.35   0   3.513
8.36   0   3.478
8.37   0   3.443
8.38   0   3.409
8.39   0   3.375
8.4   0   3.341
8.41   0   3.308
8.42   0   3.275
8.43   0   3.242
8.44   0   3.209
8.45   0   3.177
8.46   0   3.146
8.47   0   3.114
8.48   0   3.083
8.49   0   3.052
8.5   0   3.022
8.51   0   2.991
8.52   0   2.961
8.53   0   2.932
8.54   0   2.903
8.55   0   2.874
8.56   0   2.845
8.57   0   2.816
8.58   0   2.788
8.59   0   2.76
8.6   0   2.733
8.61   0   2.705
8.62   0   2.678
8.63   0   2.652
8.64   0   2.625
8.65   0   2.599
8.66   0   2.573
8.67   0   2.547
8.68   0   2.522
8.69   0   2.496
8.7   0   2.471
8.71   0   2.447
8.72   0   2.422
8.73   0   2.398
8.74   0   2.374
8.75   0   2.35
8.76   0   2.327
8.77   0   2.304
8.78   0   2.28
8.79   0   2.258
8.8   0   2.235
8.81   0   2.213
8.82   0   2.191
8.83   0   2.169
8.84   0   2.147
8.85   0   2.126
8.86   0   2.104
8.87   0   2.083
8.88   0   2.062
8.89   0   2.042
8.9   0   2.021
8.91   0   2.001
8.92   0   1.981
8.93   0   1.961
8.94   0   1.942
8.95   0   1.922
8.96   0   1.903
8.97   0   1.884
8.98   0   1.865
8.99   0   1.847
9   0   1.828
9.01   5   1.81
9.02   5   1.842
9.03   5   1.873
9.04   5   1.905
9.05   5   1.936
9.06   5   1.966
9.07   5   1.997
9.08   5   2.027
9.09   5   2.056
9.1   5   2.086
9.11   5   2.115
9.12   5   2.144
9.13   5   2.172
9.14   5   2.201
9.15   5   2.229
9.16   5   2.256
9.17   5   2.284
9.18   5   2.311
9.19   5   2.338
9.2   5   2.364
9.21   5   2.391
9.22   5   2.417
9.23   5   2.443
9.24   5   2.468
9.25   5   2.494
9.26   5   2.519
9.27   5   2.543
9.28   5   2.568
9.29   5   2.592
9.3   5   2.616
9.31   5   2.64
9.32   5   2.664
9.33   5   2.687
9.34   5   2.71
9.35   5   2.733
9.36   5   2.756
9.37   5   2.778
9.38   5   2.801
9.39   5   2.823
9.4   5   2.844
9.41   5   2.866
9.42   5   2.887
9.43   5   2.908
9.44   5   2.929
9.45   5   2.95
9.46   5   2.97
9.47   5   2.991
9.48   5   3.011
9.49   5   3.031
9.5   5   3.05
9.51   5   3.07
9.52   5   3.089
9.53   5   3.108
9.54   5   3.127
9.55   5   3.146
9.56   5   3.165
9.57   5   3.183
9.58   5   3.201
9.59   5   3.219
9.6   5   3.237
9.61   5   3.254
9.62   5   3.272
9.63   5   3.289
9.64   5   3.306
9.65   5   3.323
9.66   5   3.34
9.67   5   3.357
9.68   5   3.373
9.69   5   3.389
9.7   5   3.405
9.71   5   3.421
9.72   5   3.437
9.73   5   3.453
9.74   5   3.468
9.75   5   3.484
9.76   5   3.499
9.77   5   3.514
9.78   5   3.529
9.79   5   3.543
9.8   5   3.558
9.81   5   3.572
9.82   5   3.587
9.83   5   3.601
9.84   5   3.615
9.85   5   3.629
9.86   5   3.642
9.87   5   3.656
9.88   5   3.669
9.89   5   3.683
9.9   5   3.696
9.91   5   3.709
9.92   5   3.722
9.93   5   3.735
9.94   5   3.747
9.95   5   3.76
9.96   5   3.772
9.97   5   3.784
9.98   5   3.797
9.99   5   3.809
10   5   3.82
10.01   5   3.832
