#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
5.3   -1   0.07365   -0.8323
5.31   -0.95   0.06723   -0.8267
5.32   -0.9   0.06078   -0.821
5.33   -0.85   0.05429   -0.8153
5.34   -0.8   0.04776   -0.8094
5.35   -0.75   0.04121   -0.8035
5.36   -0.7   0.03464   -0.7975
5.37   -0.65   0.02806   -0.7915
5.38   -0.6   0.02147   -0.7853
5.39   -0.55   0.01488   -0.7791
5.4   -0.5   0.008294   -0.7728
5.41   -0.45   0.001715   -0.7664
5.42   -0.4   -0.004848   -0.7599
5.43   -0.35   -0.01139   -0.7534
5.44   -0.3   -0.01791   -0.7468
5.45   -0.25   -0.02439   -0.7401
5.46   -0.2   -0.03084   -0.7333
5.47   -0.15   -0.03725   -0.7265
5.48   -0.1   -0.04361   -0.7196
5.49   -0.05   -0.04992   -0.7126
5.5   -3.642e-13   -0.05617   -0.7055
5.51   0.05   -0.06235   -0.6984
5.52   0.1   -0.06847   -0.6912
5.53   0.15   -0.07452   -0.684
5.54   0.2   -0.08049   -0.6766
5.55   0.25   -0.08638   -0.6692
5.56   0.3   -0.09218   -0.6618
5.57   0.35   -0.09789   -0.6542
5.58   0.4   -0.1035   -0.6467
5.59   0.45   -0.109   -0.639
5.6   0.5   -0.1144   -0.6313
5.61   0.55   -0.1197   -0.6235
5.62   0.6   -0.1249   -0.6156
5.63   0.65   -0.13   -0.6077
5.64   0.7   -0.1349   -0.5997
5.65   0.75   -0.1397   -0.5917
5.66   0.8   -0.1444   -0.5836
5.67   0.85   -0.1489   -0.5755
5.68   0.9   -0.1534   -0.5673
5.69   0.95   -0.1576   -0.559
5.7   1   -0.1617   -0.5507
5.71   1.05   -0.1657   -0.5423
5.72   1.1   -0.1695   -0.5339
5.73   1.15   -0.1731   -0.5254
5.74   1.2   -0.1766   -0.5169
5.75   1.25   -0.1799   -0.5083
5.76   1.3   -0.1831   -0.4996
5.77   1.35   -0.1861   -0.491
5.78   1.4   -0.1889   -0.4822
5.79   1.45   -0.1915   -0.4734
5.8   1.5   -0.1939   -0.4646
5.81   1.55   -0.1961   -0.4557
5.82   1.6   -0.1982   -0.4468
5.83   1.65   -0.2   -0.4378
5.84   1.7   -0.2017   -0.4288
5.85   1.75   -0.2031   -0.4198
5.86   1.8   -0.2044   -0.4107
5.87   1.85   -0.2054   -0.4015
5.88   1.9   -0.2062   -0.3924
5.89   1.95   -0.2069   -0.3831
5.9   2   -0.2073   -0.3739
5.91   2.05   -0.2074   -0.3646
5.92   2.1   -0.2074   -0.3553
5.93   2.15   -0.2071   -0.3459
5.94   2.2   -0.2066   -0.3365
5.95   2.25   -0.2059   -0.3271
5.96   2.3   -0.2049   -0.3176
5.97   2.35   -0.2037   -0.3081
