#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
7.22   5   0.8693   2.284
7.23   5   0.896   2.339
7.24   5   0.922   2.392
7.25   5   0.9476   2.444
7.26   5   0.9726   2.495
7.27   5   0.9972   2.545
7.28   5   1.021   2.594
7.29   5   1.045   2.643
7.3   5   1.068   2.69
7.31   5   1.091   2.736
7.32   5   1.113   2.781
7.33   5   1.135   2.826
7.34   5   1.156   2.869
7.35   5   1.177   2.912
7.36   5   1.197   2.953
7.37   5   1.217   2.994
7.38   5   1.237   3.034
7.39   5   1.256   3.074
7.4   5   1.275   3.112
7.41   5   1.294   3.15
7.42   5   1.312   3.187
7.43   5   1.329   3.223
7.44   5   1.347   3.259
7.45   5   1.364   3.294
7.46   5   1.381   3.328
7.47   5   1.397   3.361
7.48   5   1.413   3.394
7.49   5   1.429   3.426
7.5   5   1.444   3.458
7.51   5   1.459   3.488
7.52   5   1.474   3.519
7.53   5   1.489   3.548
7.54   5   1.503   3.577
7.55   5   1.517   3.606
7.56   5   1.53   3.634
7.57   5   1.544   3.661
7.58   5   1.557   3.688
7.59   5   1.57   3.714
7.6   5   1.582   3.74
7.61   5   1.595   3.765
7.62   5   1.607   3.79
7.63   5   1.619   3.814
7.64   5   1.63   3.838
7.65   5   1.642   3.861
7.66   5   1.653   3.884
7.67   5   1.664   3.906
7.68   5   1.675   3.928
7.69   5   1.685   3.949
7.7   5   1.695   3.97
7.71   5   1.706   3.991
7.72   5   1.715   4.011
7.73   5   1.725   4.031
7.74   5   1.735   4.05
7.75   5   1.744   4.069
7.76   5   1.753   4.088
7.77   5   1.762   4.106
7.78   5   1.771   4.124
7.79   5   1.779   4.141
7.8   5   1.788   4.159
7.81   5   1.796   4.175
7.82   5   1.804   4.192
7.83   5   1.812   4.208
7.84   5   1.82   4.224
7.85   5   1.827   4.239
7.86   5   1.835   4.255
7.87   5   1.842   4.27
7.88   5   1.849   4.284
7.89   5   1.856   4.299
7.9   5   1.863   4.313
7.91   5   1.87   4.326
7.92   5   1.876   4.34
7.93   5   1.883   4.353
7.94   5   1.889   4.366
7.95   5   1.896   4.379
7.96   5   1.902   4.391
7.97   5   1.908   4.403
7.98   5   1.913   4.415
7.99   5   1.919   4.427
8   5   1.925   4.438
8.01   5   1.93   4.45
8.02   5   1.936   4.461
8.03   5   1.941   4.471
8.04   5   1.946   4.482
8.05   5   1.951   4.492
8.06   5   1.956   4.502
8.07   5   1.961   4.512
8.08   5   1.966   4.522
8.09   5   1.971   4.532
8.1   5   1.975   4.541
8.11   5   1.98   4.55
8.12   5   1.984   4.559
8.13   5   1.988   4.568
8.14   5   1.993   4.577
8.15   5   1.997   4.585
8.16   5   2.001   4.593
8.17   5   2.005   4.602
8.18   5   2.009   4.61
8.19   5   2.013   4.617
8.2   5   2.016   4.625
8.21   0   2.02   -0.3675
#Diode bloquee
8.22   0   2   2.02
#Diode passante
8.23   0   1.954   4.599
8.24   0   1.909   4.507
8.25   0   1.864   4.417
8.26   0   1.821   4.329
8.27   0   1.779   4.242
8.28   0   1.737   4.158
8.29   0   1.696   4.074
8.3   0   1.657   3.993
8.31   0   1.617   3.913
8.32   0   1.579   3.835
8.33   0   1.541   3.758
8.34   0   1.505   3.683
8.35   0   1.469   3.609
8.36   0   1.433   3.537
8.37   0   1.399   3.466
8.38   0   1.365   3.397
8.39   0   1.331   3.329
8.4   0   1.299   3.262
8.41   0   1.267   3.197
8.42   0   1.235   3.133
