#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
9.18   5   4.999
9.19   5   4.999
9.2   5   4.999
9.21   5   4.999
9.22   5   4.999
9.23   5   4.999
9.24   5   4.999
9.25   5   4.999
9.26   5   4.999
9.27   5   4.999
9.28   5   4.999
9.29   5   4.999
9.3   5   4.999
9.31   5   4.999
9.32   5   4.999
9.33   5   4.999
9.34   5   4.999
9.35   5   4.999
9.36   5   4.999
9.37   5   4.999
9.38   5   4.999
9.39   5   4.999
9.4   5   4.999
9.41   5   4.999
9.42   5   4.999
9.43   5   4.999
9.44   5   4.999
9.45   5   4.999
9.46   5   4.999
9.47   5   4.999
9.48   5   4.999
9.49   5   4.999
9.5   5   4.999
9.51   5   4.999
9.52   5   4.999
9.53   5   4.999
9.54   5   4.999
9.55   5   4.999
9.56   5   4.999
9.57   5   4.999
9.58   5   4.999
9.59   5   4.999
9.6   5   4.999
9.61   5   4.999
9.62   5   4.999
9.63   5   4.999
9.64   5   4.999
9.65   5   4.999
9.66   5   4.999
9.67   5   4.999
9.68   5   4.999
9.69   5   4.999
9.7   5   4.999
9.71   5   4.999
9.72   5   4.999
9.73   5   4.999
9.74   5   4.999
9.75   5   4.999
9.76   5   4.999
9.77   5   4.999
9.78   5   4.999
9.79   5   4.999
9.8   5   4.999
9.81   5   4.999
9.82   5   4.999
9.83   5   4.999
9.84   5   4.999
9.85   5   4.999
9.86   5   4.999
9.87   5   4.999
9.88   5   4.999
9.89   5   4.999
9.9   5   4.999
9.91   5   4.999
9.92   5   4.999
9.93   5   4.999
9.94   5   4.999
9.95   5   4.999
9.96   5   4.999
9.97   5   4.999
9.98   5   4.999
9.99   5   4.999
10   5   4.999
10.01   5   4.999
